# skill	source
architecture-scan	local
ask-matt	matt
bro	local
cloudflare-composition-root	dmmulroy
code-review	matt
codebase-design	matt
coding-standards	dmmulroy
coding-standards-go	local
coding-standards-ts	local
diagnosing-bugs	matt
domain-modeling	matt
grill-me	matt
grill-me-with-docs	local
grill-with-docs	matt
grilling	matt
handoff	matt
herdr	local
implement	matt
improve-codebase-architecture	matt
plannotator-annotate	local
plannotator-last	local
plannotator-review	local
prototype	matt
quiz-me	local
recipe-diagrams	dmmulroy
research	matt
resolving-merge-conflicts	matt
setup-matt-pocock-skills	matt
tdd	matt
teach	matt
tech-spec	local
tldr	local
to-questionnaire	matt
to-spec	matt
to-tickets	matt
triage	matt
wait-what	matt
wayfinder	matt
wizard	matt
workday-training	dmmulroy
write-discoverable-code	dmmulroy
writing-for-agents	matt
